date,clinic_location,patient_group,service_type,visits,operational_cost_per_visit,wait_time_minutes,outcome_score,priority_rating
01/01/2023,Rural_Wales,LowIncome,Vaccination,12,12.38,52,7.5,Medium
01/01/2023,Manchester,General,Emergency,48,69.79,24,8.8,High
01/01/2023,Rural_Yorkshire,Elderly,GP_Visit,31,30.27,68,7.5,Low
01/01/2023,Rural_Lancashire,General,Vaccination,37,10.86,46,8.1,Low
01/01/2023,Rural_Yorkshire,LowIncome,Emergency,15,72.34,40,8.1,Medium
01/01/2023,Rural_Yorkshire,LowIncome,GP_Visit,37,31.35,55,7.3,Low
01/01/2023,London,Elderly,GP_Visit,34,25.1,21,8.9,Low
01/01/2023,Manchester,Elderly,Emergency,20,70.61,18,8.0,High
01/01/2023,Rural_Wales,General,Vaccination,33,12.08,68,8.0,Low
01/01/2023,Rural_Lancashire,Elderly,Vaccination,18,14.3,55,7.9,Medium
01/01/2023,Rural_Yorkshire,Elderly,Vaccination,29,11.95,68,7.2,Medium
01/01/2023,Manchester,General,GP_Visit,25,31.26,25,8.6,Medium
01/01/2023,Rural_Wales,General,Emergency,25,65.65,42,7.4,Medium
01/01/2023,Manchester,General,Emergency,21,73.44,29,8.1,High
01/01/2023,London,General,Emergency,24,68.32,19,8.9,High
01/01/2023,Rural_Wales,LowIncome,GP_Visit,31,28.18,63,8.5,Medium
01/01/2023,Rural_Yorkshire,General,Emergency,33,69.01,43,7.9,High
01/01/2023,London,Elderly,Emergency,50,68.67,28,8.9,Low
01/01/2023,Rural_Lancashire,LowIncome,GP_Visit,18,31.16,48,7.7,High
01/01/2023,Rural_Wales,General,GP_Visit,21,28.74,49,7.7,Low
02/01/2023,Manchester,General,GP_Visit,59,32.99,30,8.7,Low
02/01/2023,Rural_Wales,General,GP_Visit,26,31.0,58,8.4,Medium
02/01/2023,Rural_Lancashire,Elderly,GP_Visit,11,28.95,42,7.4,Medium
02/01/2023,Rural_Lancashire,Elderly,Emergency,19,77.7,46,8.1,Low
02/01/2023,Rural_Lancashire,General,Vaccination,22,12.16,51,7.2,Medium
02/01/2023,Rural_Wales,Elderly,Vaccination,31,14.7,48,7.2,Medium
02/01/2023,London,LowIncome,GP_Visit,60,26.27,20,8.3,Low
02/01/2023,London,General,GP_Visit,26,25.01,30,8.9,Medium
02/01/2023,Rural_Yorkshire,General,Vaccination,11,11.3,60,8.0,Low
02/01/2023,Manchester,Elderly,GP_Visit,30,25.28,29,8.4,Medium
02/01/2023,Sheffield,LowIncome,GP_Visit,59,34.41,30,9.0,Low
02/01/2023,Rural_Lancashire,Elderly,Vaccination,21,13.67,55,7.4,Medium
02/01/2023,Rural_Lancashire,LowIncome,Emergency,39,65.75,52,8.1,Low
02/01/2023,Sheffield,Elderly,Emergency,24,76.47,25,8.2,Low
02/01/2023,Rural_Yorkshire,General,Emergency,10,74.33,42,8.3,High
02/01/2023,Sheffield,LowIncome,GP_Visit,20,25.66,28,8.9,Low
02/01/2023,Rural_Yorkshire,General,Emergency,19,74.48,49,7.2,Medium
02/01/2023,Sheffield,General,Emergency,45,71.26,22,8.7,Medium
02/01/2023,Rural_Wales,LowIncome,Emergency,13,73.03,63,7.8,High
02/01/2023,Sheffield,LowIncome,Emergency,23,75.19,22,8.6,Low
03/01/2023,Sheffield,Elderly,GP_Visit,58,27.19,26,8.5,Medium
03/01/2023,Rural_Wales,LowIncome,Vaccination,17,10.96,45,7.2,Low
03/01/2023,Sheffield,LowIncome,GP_Visit,41,33.69,19,8.9,High
03/01/2023,Sheffield,Elderly,GP_Visit,39,30.56,20,8.5,Low
03/01/2023,Rural_Yorkshire,General,GP_Visit,40,32.94,49,7.3,Medium
03/01/2023,Rural_Yorkshire,Elderly,GP_Visit,23,25.57,70,8.2,Medium
03/01/2023,Rural_Yorkshire,LowIncome,Emergency,38,73.81,63,8.4,High
03/01/2023,Sheffield,Elderly,Vaccination,29,14.4,22,8.5,Low
03/01/2023,London,General,Vaccination,49,10.22,15,8.5,Medium
03/01/2023,Manchester,LowIncome,GP_Visit,59,27.96,25,9.0,Low
03/01/2023,London,Elderly,GP_Visit,41,33.29,28,8.9,Low
03/01/2023,London,General,Emergency,56,70.5,13,8.7,High
03/01/2023,London,Elderly,GP_Visit,27,33.38,20,8.0,Low
03/01/2023,Rural_Yorkshire,LowIncome,Vaccination,24,12.85,57,7.1,High
03/01/2023,London,General,Vaccination,57,10.29,19,8.2,Medium
03/01/2023,London,Elderly,GP_Visit,40,34.8,20,8.6,Low
03/01/2023,London,Elderly,GP_Visit,38,30.19,12,8.3,Medium
03/01/2023,Rural_Lancashire,Elderly,GP_Visit,20,33.21,56,8.1,Low
03/01/2023,Manchester,Elderly,Emergency,56,76.36,15,8.4,High
03/01/2023,Rural_Lancashire,General,Emergency,32,77.35,60,7.2,Medium
04/01/2023,Rural_Yorkshire,LowIncome,Emergency,30,71.18,59,8.4,High
04/01/2023,Rural_Wales,General,Vaccination,30,10.41,68,8.1,Medium
04/01/2023,Manchester,General,Vaccination,39,14.44,26,8.3,Medium
04/01/2023,Rural_Wales,Elderly,GP_Visit,28,26.21,55,7.9,Low
04/01/2023,Sheffield,LowIncome,Emergency,36,74.86,17,8.3,Medium
04/01/2023,Sheffield,General,GP_Visit,52,31.27,19,8.1,Medium
04/01/2023,Sheffield,General,Vaccination,36,10.16,26,8.7,Low
04/01/2023,Rural_Wales,General,GP_Visit,32,34.59,58,7.6,Low
04/01/2023,Rural_Wales,Elderly,GP_Visit,26,28.96,48,7.2,Medium
04/01/2023,London,General,Vaccination,24,14.56,13,8.9,Low
04/01/2023,Rural_Lancashire,Elderly,GP_Visit,35,26.13,53,7.1,Low
04/01/2023,Rural_Lancashire,LowIncome,Vaccination,28,12.03,62,7.9,High
04/01/2023,Rural_Yorkshire,Elderly,GP_Visit,36,25.51,70,8.4,Low
04/01/2023,Manchester,LowIncome,Vaccination,41,10.3,13,8.1,Low
04/01/2023,Manchester,LowIncome,Vaccination,27,13.13,26,8.3,High
04/01/2023,Manchester,LowIncome,Vaccination,36,12.71,24,8.1,Medium
04/01/2023,Rural_Wales,General,Vaccination,33,11.95,63,7.2,Medium
04/01/2023,Rural_Wales,Elderly,GP_Visit,15,29.89,63,7.1,Medium
04/01/2023,Rural_Lancashire,LowIncome,Vaccination,25,14.19,68,7.7,Medium
04/01/2023,Rural_Lancashire,General,GP_Visit,25,33.22,51,8.3,Medium
05/01/2023,Rural_Yorkshire,General,Vaccination,22,12.11,69,8.3,Medium
05/01/2023,Rural_Yorkshire,Elderly,Vaccination,17,13.04,49,8.3,Medium
05/01/2023,Rural_Wales,Elderly,GP_Visit,32,33.92,46,8.2,Low
05/01/2023,Rural_Yorkshire,LowIncome,GP_Visit,20,32.97,45,7.1,Medium
05/01/2023,Rural_Yorkshire,General,Emergency,23,74.93,66,7.6,High
05/01/2023,Rural_Lancashire,General,GP_Visit,36,33.54,40,7.8,Low
05/01/2023,Manchester,Elderly,Emergency,42,74.77,16,8.9,Medium
05/01/2023,Rural_Lancashire,General,Emergency,36,70.71,67,8.1,Low
05/01/2023,Rural_Wales,LowIncome,Emergency,39,75.48,50,7.4,High
05/01/2023,Sheffield,LowIncome,GP_Visit,35,31.8,28,8.6,Medium
05/01/2023,London,Elderly,Vaccination,21,13.88,29,8.5,Low
05/01/2023,Manchester,General,Vaccination,51,12.47,28,9.0,Low
05/01/2023,Manchester,General,Vaccination,51,13.35,12,8.2,Low
05/01/2023,Rural_Wales,General,GP_Visit,35,25.93,62,7.4,Low
05/01/2023,London,General,Emergency,50,76.47,12,8.2,High
05/01/2023,Manchester,LowIncome,Vaccination,34,10.78,25,8.2,Low
05/01/2023,Manchester,General,Emergency,34,77.37,15,8.4,Medium
05/01/2023,London,LowIncome,Vaccination,29,13.65,13,8.1,Low
05/01/2023,Rural_Yorkshire,General,Vaccination,19,14.64,45,7.7,Medium
05/01/2023,Sheffield,Elderly,GP_Visit,50,33.29,29,8.1,Low
